"Код профиля Optima WIN";"Код профиля Sturtz"
"001";"001"
"002";"002"
"003";"003"
"007";"007"
"";"01"
"012";"012"
"013";"013"
"";"016"
"";"017"
"";"018"
"";"02"
"021";"021"
"023";"023"
"024";"024"
"025";"025"
"027";"027"
"028";"028"
"029";"029"
"";"03"
"030";"030"
"";"03111"
"03121 016";"03121"
"032";"032"
"03216 016";"03216"
"";"03311"
"03321 016";"03321"
"036";"036"
"037";"037"
"046";"046"
"047";"047"
"048";"048"
"";"05"
"05101";"05101"
"05121";"05121"
"05201";"05201"
"05301";"05301"
"05321";"05321"
"061";"061"
"062";"062"
"063";"063"
"";"08"
"";"101"
"";"11R1163"
"";"11R1167"
"";"11R1257"
"";"11R1512"
"";"11R1513"
"";"11R4163"
"";"11R4257"
"";"12r1381"
"";"11R4382"
"21301-01000";"2130101"
"21301-02000";"2130102"
"21301-03000";"2130103"
"21301-05000";"2130105"
"21301-0700";"2130107"
"21301-08000";"2130108"
"";"2131403"
"21315-01000";"2131501"
"21315-05000";"2131505"
"550711";"550711"
"550721";"550721"
"554008";"554008"
"554009";"554009"
"554018";"554018"
"554028";"554028"
"554029";"554029"
"554039";"554039"
"";"CL58"
"";"CT58"
"";"CZ58"
"H211";"H211"
"H221";"H221"
"H231";"H231"
"H730";"H730/D"
"H740";"H740/D"
"";"HLE60"
"HLR760";"HLR760"
"";"HTE60"
"HTR760";"HTR760"
"L710";"L710/D"
"";"LE60M"
"LL60/D";"LL60/D"
"LL61/D";"LL61/D"
"LR740";"LR740/D"
"";"LR741/D"
"LR743P";"LR743/P"
"LR760/D";"LR760/D"
"";"pp"
"";"S55201"
"";"S55202"
"";"S55203"
"T23/FD";"T23/FD"
"";"TE60"
"";"TE60M"
"TL60/D";"TL60/D"
"TR720";"TR720/D"
"TR720P";"TR720/P"
"TR760/D";"TR760/D"
"";"ZE60M"
"";"60/D"
"ZR710";"ZR710/D"
"ZR713P";"ZR713/P"
"ZR760/D";"ZR760/D"
